Species,years,place,lat,lon,Description,imag,TRUE,Prediction
Miqueliopuntia miquelii,1996,"Chile, Region III.  23 kilometers from Huasco Bajo and 64 kilometers from Vallenar.",-28.314972,-71.150861,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00041/DES00041362.jpg,0,0
Cylindropuntia chuckwallensis,2012,"USA, California, Riverside, Northeast end of Chuckwalla Mountains, 11km SSE of Desert Center, 70km west of Blythe, two-track branching south from Corn",33.6246,-115.3381,"Locally rather abundant shrub to 1 m tall with generally several decumbent to erect main stems arising from at or near soil surface, secondary stems generally whorled, spines thinner than those of nearby C. echinocarpa, white, individuals occurring only on areas of dark gray schist and not on nearby granite outcroppings, n=33 during meiosis of microgametogenesis, chromosome determination made 27 March 2012 from live material potted in sand",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU_Plants/ASU0078/ASU0078719.jpg,0,0
Cylindropuntia acanthocarpa x C. spinosior,2016,"United States, Arizona, Yavapai, 300m south of Ally Wash, 2.1km NNE of Hillside Peak, 1.8km NNE of Hillside, just south and east of Hwy 96",34.433,-112.9133,Single shrub with this morphology; heavily infested with off-white insect larvae; stems processed in sunlight.,,0,0
Pereskia humboldtii var. humboldtii,1998,"USA, California, San Diego, San Diego, San Diego Natural History Museum",32.732111,-117.1473601,"Shrub to 1.8 meters tall. Flower: tepals dull red; filaments pink with white base, style white, stigma white.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201509/ASU0089117_1441834207.jpg,0,0
Opuntia soederstromiana,1987,"Ecuador, Imbabura, Quebrada Bermejal, 1 km NW of Loma del Culebrón, 2 km S of Rio Chota, 15 km NNE of Ibarra.",0.45833,-78.03333,Cloning shrub in wash; flowers orange-yellow turning red-orange; fruit red with blood-red pulp.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058681.jpg,1,0
Cylindropuntia x neoarbuscula,1996,"USA, Arizona, Pinal County, SE of Florence along Barkerville Road",32.8956,-111.044,Flowers orange-bronze suffused with purple; one plant; pollen stain = 74.8%,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/Cacta_Cylindropuntia_xneoarbuscula129389c0.jpg,1,0
Eriosyce curvispina var. tuberisulcata,1994,"Chile, Valparaiso, 2 km S of [Valparaiso], before Laguna Verde",-33.066667,-71.65,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00037/DES00037057.jpg,0,0
Epiphyllum phyllanthus var. hookeri,2010,"United States, Florida, Lee Co., West Lake Mine; ca. 5 mi. NE of the junction of I-75 and Corkscrew Road (C-850), ca. 2.5 mi. NW of the junction of Al",26.4731,-81.7242,,http://storage.idigbio.org/portals/seinet/sernec/USF/00243/243910_1530637809_web.jpg,0,0
Cylindropuntia x congesta,1995,"USA, Arizona, Yavapai County, 2k north of Hillside; 2k south of Sadies Peak; just south of Ally Wash; ca. 30m north of dirt road",34.4336,-112.914,"Densely branched shrub 4dm tall, 7dm broad; spines red-brown with translucent-white tops; sheaths translucent-white, tinged tan toward apex; flowers yellow, tinged variously green, purple-red, and brown-orange; filaments pale-green below, pale purple-red above; style cream-white; stigma pale green; fruit spineless or with at least 2 persistent spines, leathery, tuberculate, ca. yellow-green, orange-red toward apex, especially about the areoles, both putative parents occur within 30m; seeds per fruit: 3, 3, 2, 7, 20, 0, 3, 1, 19",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/Cacta_Cylindropuntia_xcongesta189785c0.jpg,1,0
Cumulopuntia boliviana,2004,"Chile, Antofagasta, Region III. Antofagasta. NE slope of Quebrada La Chita on road to Collama.",-22.410528,-70.35,"Clumps 35 - 50 cm in diameter; spines golden to brown, erect, rigid.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00055/DES00055831.jpg,0,0
Cereus nashii,1907,"United States of America, New York, New York Botanical Garden",40.862412,-73.878143,,http://storage.idigbio.org/portals/seinet/mam/NY/00385/webmedia_1473315761_web.jpg,0,0
Cylindropuntia x tetracantha,1995,"USA, Arizona, Pima County, 1.9k west of Big Wash",32.4377,-110.973,"Shrub 1.2m tall, as broad, rooted along wash; stems spreading to erect; fruit clavate, smooth, yellow to red",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/Cacta_Cylindropuntia_xtetracantha192349.jpg,0,0
Cereus hildmannianus subsp. uruguayanus,2016,"Uruguay, Salto, Salto, Ruta 31, KM 130",-31.459912,-56.7168875,Large cactus,http://storage.idigbio.org/portals/seinet/arizona/SEINet/201612/DSCN0131-m_1480777491.jpg,0,0
